Year,count,successes,success_rate
2010,1,0,0.0
2012,1,0,0.0
2013,3,0,0.0
2014,6,2,0.3333333333333333
2015,6,2,0.3333333333333333
2016,8,5,0.625
2017,18,15,0.8333333333333334
2018,18,11,0.6111111111111112
2019,10,9,0.9
2020,19,16,0.8421052631578947
